names,date_x,score,genre,orig_lang,budget_x,country
Creed III,03/02/2023 ,73.0,"Drama, Action", English,75000000.0,AU
Avatar: The Way of Water,12/15/2022 ,78.0,"Science Fiction, Adventure, Action", English,460000000.0,AU
The Super Mario Bros. Movie,04/05/2023 ,76.0,"Animation, Adventure, Family, Fantasy, Comedy", English,100000000.0,AU
Mummies,01/05/2023 ,70.0,"Animation, Comedy, Family, Adventure, Fantasy"," Spanish, Castilian",12300000.0,AU
Supercell,03/17/2023 ,61.0,Action, English,77000000.0,US
Cocaine Bear,02/23/2023 ,66.0,"Thriller, Comedy, Crime", English,35000000.0,AU
John Wick: Chapter 4,03/23/2023 ,80.0,"Action, Thriller, Crime", English,100000000.0,AU
Puss in Boots: The Last Wish,12/26/2022 ,83.0,"Animation, Family, Fantasy, Adventure, Comedy", English,90000000.0,AU
Attack on Titan,09/30/2022 ,59.0,"Action, Science Fiction", English,71000000.0,US
The Park,03/02/2023 ,58.0,"Action, Drama, Horror, Science Fiction, Thriller", English,119200000.0,US
Winnie the Pooh: Blood and Honey,02/14/2023 ,58.0,"Horror, Thriller", English,100000.0,AU
The Exorcist,11/02/2022 ,55.0,Horror," Spanish, Castilian",12000000.0,MX
Murder Mystery 2,03/31/2023 ,65.0,"Comedy, Mystery, Action", English,43800000.0,AU
Black Panther: Wakanda Forever,11/10/2022 ,73.0,"Action, Adventure, Science Fiction", English,250000000.0,AU
The Pope's Exorcist,04/06/2023 ,72.0,"Horror, Mystery", English,92000000.0,AU
Prizefighter: The Life of Jem Belcher,07/22/2022 ,62.0,"Drama, History", English,77600000.0,GB
Knock at the Cabin,02/02/2023 ,64.0,"Thriller, Mystery, Horror, Fantasy", English,20000000.0,AU
The Devil Conspiracy,01/13/2023 ,65.0,"Horror, Thriller", English,54060000.0,US
Cazadora,01/19/2023 ,57.0,Thriller," Spanish, Castilian",110400000.0,CL
Gold Run,12/15/2022 ,65.0,"War, Action, Adventure, Thriller", Norwegian,123500000.0,NO
The Magician's Elephant,03/17/2023 ,73.0,"Animation, Adventure, Family, Fantasy", English,82600000.0,AU
Plane,01/27/2023 ,69.0,"Action, Adventure, Thriller", English,25000000.0,GB
The Passion of the Christ,02/25/2004 ,74.0,Drama, English,25000000.0,AU
Batman: The Doom That Came to Gotham,03/28/2023 ,64.0,"Animation, Fantasy, Horror, Action, Mystery", English,145760000.0,US
Shazam! Fury of the Gods,03/16/2023 ,69.0,"Action, Comedy, Fantasy", English,125000000.0,AU
Consecration,02/10/2023 ,65.0,"Horror, Thriller", English,54060000.0,US
Shark Side of the Moon,08/12/2022 ,53.0,"Action, Science Fiction, Thriller, Horror", English,10000.0,US
Black Adam,10/20/2022 ,71.0,"Action, Adventure, Science Fiction, Fantasy", English,200000000.0,AU
Money Shot: The Pornhub Story,03/15/2023 ,58.0,Documentary, English,68500000.0,US
M3GAN,01/12/2023 ,74.0,"Science Fiction, Horror, Comedy", English,12000000.0,AU
Ant-Man and the Wasp: Quantumania,02/16/2023 ,63.0,"Science Fiction, Adventure, Action", English,200000000.0,AU
Sayen,03/03/2023 ,62.0,"Thriller, Action"," Spanish, Castilian",73800000.0,CL
Die Hart,02/24/2023 ,62.0,"Action, Comedy, Thriller", English,113000000.0,US
13 Exorcisms,11/04/2022 ,55.0,"Drama, Horror"," Spanish, Castilian",2480000.0,ES
H.P. Lovecraft's Witch House,06/29/2022 ,60.0,Horror, English,146740000.0,US
John Wick: Chapter 2,05/18/2017 ,73.0,"Action, Thriller, Crime", English,40000000.0,AU
Sick,09/24/2022 ,63.0,"Horror, Thriller", English,81800000.0,US
Black Warrant,03/01/2023 ,54.0,"Action, Thriller", English,116000000.0,AU
Shotgun Wedding,01/26/2023 ,63.0,"Action, Comedy, Romance", English,16050000.0,AU
John Wick: Chapter 3 - Parabellum,05/16/2019 ,74.0,"Action, Thriller, Crime", English,55000000.0,AU
Legion of Super-Heroes,02/07/2023 ,63.0,"Animation, Action, Science Fiction", English,113400000.0,US
Fall,09/22/2022 ,73.0,"Thriller, Drama", English,3000000.0,AU
Lord of the Streets,04/22/2022 ,52.0,Action, English,1000000.0,US
Little Dixie,02/03/2023 ,60.0,"Thriller, Action, Drama, Crime", English,141340000.0,US
The Whale,02/02/2023 ,81.0,Drama, English,3000000.0,AU
Prey for the Devil,10/28/2022 ,71.0,"Horror, Thriller", English,27240305.0,US
Bandit,09/23/2022 ,62.0,"Crime, Drama, Thriller", English,115000000.0,US
Roald Dahl's Matilda the Musical,12/08/2022 ,68.0,"Family, Comedy, Fantasy", English,25000000.0,AU
The Simpsons Meet the Bocellis in Feliz Navidad,12/15/2022 ,52.0,"Animation, Family, Comedy", English,97200000.0,US
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,02/25/2021 ,83.0,"Animation, Action, Adventure, Fantasy, Thriller", Japanese,15800000.0,AU
Huesera: The Bone Woman,02/23/2023 ,58.0,"Drama, Horror, Mystery"," Spanish, Castilian",135000000.0,MX
The Last Heretic,11/09/2022 ,55.0,"Thriller, Horror"," Spanish, Castilian",122400000.0,AR
JUNG_E,01/20/2023 ,63.0,"Science Fiction, Action, Adventure", Korean,66240000.0,KR
A Man Called Otto,01/01/2023 ,79.0,"Comedy, Drama", English,50000000.0,AU
Champions,03/09/2023 ,68.0,Comedy, English,51880004.0,AU
Dungeons & Dragons: Honor Among Thieves,03/30/2023 ,76.0,"Adventure, Fantasy, Comedy", English,150000000.0,AU
Troll,12/01/2022 ,68.0,"Fantasy, Action, Adventure, Thriller", Norwegian,121400000.0,AU
Sonic the Hedgehog 2,03/31/2022 ,76.0,"Action, Adventure, Family, Comedy", English,90000000.0,AU
A Bronx Tale,05/20/1994 ,78.0,"Drama, Crime", English,10000000.0,AU
Big Trip 2: Special Delivery,01/19/2023 ,65.0,"Animation, Family, Adventure, Comedy", Russian,95200000.0,AU
Encanto at the Hollywood Bowl,12/28/2022 ,73.0,Music, English,127000000.0,US
The Forbidden Legend: Sex & Chopsticks 2,03/04/2009 ,60.0,"Comedy, Drama, Romance", Cantonese,89600000.0,HK
Top Gun: Maverick,05/26/2022 ,83.0,"Action, Drama", English,170000000.0,AU
On a Wing and a Prayer,04/06/2023 ,65.0,"Drama, Thriller", English,147400000.0,US
Sniper: The White Raven,08/24/2022 ,76.0,"War, Drama", Ukrainian,1000000.0,UA
The Enforcer,12/01/2022 ,74.0,"Action, Crime, Drama, Thriller", English,1261569.0,AU
Diabolik - Ginko Attacks,11/17/2022 ,57.0,"Crime, Action", Italian,21680000.0,IT
Scream VI,03/09/2023 ,73.0,"Horror, Mystery, Thriller", English,35000000.0,AU
Avatar,12/17/2009 ,76.0,"Action, Adventure, Fantasy, Science Fiction", English,237000000.0,AU
Breaking,08/26/2022 ,67.0,"Crime, Drama, Thriller", English,72000000.0,US
Tetris,03/31/2023 ,78.0,"Thriller, History, Drama", English,172000000.0,GB
65,03/09/2023 ,63.0,"Thriller, Science Fiction, Action", English,45000000.0,AU
Thor: Love and Thunder,07/06/2022 ,66.0,"Fantasy, Action, Comedy", English,250000000.0,AU
Arctic Void,01/14/2022 ,47.0,"Science Fiction, Thriller", English,147200000.0,US
Terrifier 2,10/28/2022 ,69.0,Horror, English,250000.0,AU
John Wick,11/26/2014 ,74.0,"Action, Thriller", English,30000000.0,AU
Spider-Man: No Way Home,12/16/2021 ,80.0,"Action, Adventure, Science Fiction", English,200000000.0,AU
